startEpochTime,openPrice,highPrice,lowPrice,closePrice,volume
1600272900,490.465,490.685,490.445,490.685,683
1600273500,490.85,491.19,490.65,491.06,1266
1600273800,491.01,491.01,490.68,490.75,1241
1600274100,490.85,491.745,490.78,491.745,967
1600274400,491.845,491.905,491.275,491.735,6274
1600274700,491.7,491.945,491.41,491.86,8639
1600275000,491.91,492.55,491.91,492.55,3510
1600275300,492.78,492.965,492.78,492.845,1775
1600275600,492.78,492.965,492.78,492.87,8301
1600275900,493.695,493.695,492.78,492.99,4485
1600276200,492.875,492.99,492.08,492.3,9940
1600276500,492.175,492.175,492.175,492.175,122
1600276800,491.32,491.36,491.32,491.36,307
1600277100,490.05,490.12,490.05,490.12,243
1600277400,490.01,490.38,489.6,489.855,1649
1600277700,489.635,490.09,489.635,489.855,1016
1600278000,489.775,490.48,489.29,490.48,1358
1600278300,490.37,490.42,489.925,489.925,632
1600278600,490.41,490.82,490.41,490.82,301
1600278900,490.7,491.23,490.7,491.23,611
1600279200,491.56,492.55,491.13,491.22,1532
1600279500,491.225,491.49,490.51,490.66,1693
1600279800,490.4,490.63,489.82,490.63,623
1600280100,492.35,494.11,492.35,493.45,2546
1600280400,493.29,493.92,493.21,493.61,5701
1600280700,493.46,494.59,493.46,494.59,1575
1600281000,494.595,494.905,492.865,493.01,3535
1600281300,492.9,494.255,492.79,494.24,2452
1600281600,494.16,494.32,492.4,492.4,2466
1600281900,491.26,491.26,490.23,490.31,1443
1600282200,489.63,489.63,489.28,489.28,719
1600282500,489.38,490,489.195,489.795,1806
1600282800,489.95,490.66,489.95,490.03,4093
1600283100,489.3,489.59,488.15,488.15,2066
1600283400,486.6,487.37,486.55,487.24,1114
1600283700,487.01,487.04,486.26,486.645,1704
1600284000,487.76,487.76,487.01,487.01,1074
1600284300,486.74,487,486.14,486.17,669
1600284600,484.9,484.93,483.61,484.225,1718
1600284900,485.05,485.68,484.275,484.275,2270
1600285200,484.11,485.665,483.825,485.195,1320
1600285500,485.36,486.6,484.94,485.56,1858
1600285800,485.415,485.695,484.42,484.825,2377
1600286100,484.91,484.91,483.51,483.51,6932
1600286400,483.86,483.86,483.86,483.86,100
1600344900,474.846,474.846,474.846,474.846,159
1600347000,473,473,473,473,309
1600349400,475.32,477.29,475,476.04,5647
1600349700,475.022,478.115,475.022,475.865,4194
1600350000,476.8,476.88,473,473.13,4038
1600350300,473.42,473.99,472.22,473.77,2095
1600350600,474.24,475.9,474.02,475.9,2230
1600350900,475.9,476.52,474.46,475.03,7109
1600351200,475.83,475.84,474.01,474.27,3945
1600351500,474.18,477.34,474.18,476.31,9370
1600351800,476.12,476.3,473.74,474.185,4891
1600352100,472.82,473.14,471.5,473.14,2810
1600352400,473.345,475.4,472.16,472.16,2055
1600352700,471.28,472.34,471.1,472.34,1985
1600353000,472.345,472.48,471.13,471.93,1933
1600353300,472.525,474,472.01,474,2528
1600353600,474.19,475.405,474.165,475.405,2673
1600353900,475.71,476.07,475.275,475.63,1470
1600354200,476.31,476.31,475.36,475.41,1200
1600354500,475.64,475.64,473.01,473.225,1046
1600354800,473.54,474.34,473.3,473.575,1878
1600355100,474.15,475.09,473.92,475,4394
1600355400,474.33,474.445,473.38,473.49,932
1600355700,474.43,476.07,473.92,473.92,1031
1600356000,473.39,473.775,472.93,472.93,526
1600356300,473.07,473.07,473.07,473.07,334
1600356600,473.03,474.81,472.6,472.6,2733
1600356900,472.59,473.24,472.51,473.24,1026
1600357200,473.36,473.845,471.13,471.35,1920
1600357500,471.7,471.7,470.42,470.42,2082
1600357800,470.26,471.145,470,471.145,4045
1600358100,471.05,471.05,471.05,471.05,116
1600358400,470.8,470.8,470.48,470.48,452
1600358700,469.94,469.94,468.61,468.61,1116
1600359000,469.18,469.18,466.66,466.66,2717
1600359300,466.801,467.76,465.84,467.33,10503
1600359600,467.175,467.44,466.45,466.68,1962
1600359900,466.89,467.41,465.81,467.41,2389
1600360200,467.23,467.93,466.43,467.23,10334
1600360500,466.795,467.26,466.13,466.305,4425
1600360800,466.23,466.6,465.01,465.29,11112
1600361100,464.84,465.31,463.78,464.38,4849
1600361400,463.63,464.58,463.63,464.49,4835
1600361700,465.79,466.19,465.55,466.19,1385
