"datetime","headline","source","url","summary","related","image","lang","hasPaywall","symbol"
"1608358323000","On connaît l’origine du fameux son «toudoum» de Netflix","20 Minuten","https://cloud.iexapis.com/v1/news/article/de4a878d-ac42-4905-9805-b9dfac5e31f3","L’histoire de l’introduction sonore de la plateforme Netflix a été révélée sur Twitter. Apparemment elle serait tirée d’une série à succès.","NFLX","https://cloud.iexapis.com/v1/news/image/de4a878d-ac42-4905-9805-b9dfac5e31f3","fr","False",""
"1608348600000","Netflix, Apple, Telefónica... las ofertas de empleo con sueldos de 200.000 euros","La Información","https://cloud.iexapis.com/v1/news/article/2af34bdb-48b7-43b8-9f6d-0fb771dd6654","Algunas empresas continúan aumentando su plantilla, pese a la situación provocada por la pandemia. Oportunidades con salarios competitivos y que dan la posibilidad de trabajar en otro país.","NFLX","https://cloud.iexapis.com/v1/news/image/2af34bdb-48b7-43b8-9f6d-0fb771dd6654","es","False",""
"1608334200000","‘The Crown’ o los equilibrios legales de las series biográficas","El Pais","https://cloud.iexapis.com/v1/news/article/1c6d110f-1db3-4acb-abc9-7ddfbe7719a1","La controversia entre Netflix y el Gobierno británico revela el complejo escenario jurídico en el que se mueven estas producciones","NFLX","https://cloud.iexapis.com/v1/news/image/1c6d110f-1db3-4acb-abc9-7ddfbe7719a1","es","False",""
"1608309011000","Le crépuscule de la star hollywoodienne","Le Monde","https://cloud.iexapis.com/v1/news/article/1893a15b-96dd-439b-8650-f2c98501caec","Les stars ont fait leur temps. Aux Etats-Unis, une nouvelle économie a supplanté les actrices et acteurs « bankable ». Celle des franchises, issues des vieux comics ou de la saga « Star Wars », gages de succès pour des films déclinables à l’infini. Celle surtout de Netflix et consorts pour lesquels la vedette, c’est la plateforme elle-même.","NFLX","https://cloud.iexapis.com/v1/news/image/1893a15b-96dd-439b-8650-f2c98501caec","fr","False",""
"1608303945000","Netflix teste un mode 'audio' pour continuer d'écouter vos séries en verrouillant l'écran","Business Insider France","https://cloud.iexapis.com/v1/news/article/4bad3a88-6c6e-4607-95fc-d5efd6702281","No summary available.","NFLX","https://cloud.iexapis.com/v1/news/image/4bad3a88-6c6e-4607-95fc-d5efd6702281","fr","False",""
"1608287721000","What to Expect from FAANG Stocks in Upcoming 2021?","Coinspeaker","https://cloud.iexapis.com/v1/news/article/0bacdec4-3024-484d-ac00-69cf51bb37cf","FAANG stocks have proved to be winners in the coronavirus pandemic, and in 2021, it is expected that they will receive a further boost.","NFLX","https://cloud.iexapis.com/v1/news/image/0bacdec4-3024-484d-ac00-69cf51bb37cf","en","False",""
"1608286433000","Netflix, Disney+, Amazon Prime... les films et séries à voir cette semaine du 18 au 24 décembre","Business Insider France","https://cloud.iexapis.com/v1/news/article/f575deb4-d9aa-4b36-a613-9567b46339ed","No summary available.","NFLX","https://cloud.iexapis.com/v1/news/image/f575deb4-d9aa-4b36-a613-9567b46339ed","fr","False",""
"1608276401000","Nace el Netflix de (y para) la agricultura","El Pais","https://cloud.iexapis.com/v1/news/article/559da84f-0f67-436d-8e17-af94f9719af3","Un realizador y un actor de cine franceses, ambos hijos de agricultores, crean una cadena de televisión temática por Internet","NFLX","https://cloud.iexapis.com/v1/news/image/559da84f-0f67-436d-8e17-af94f9719af3","es","False",""
"1608212940000","À surveiller : Mdf commerce, Netflix et Storage Vault","Les Affaires","https://cloud.iexapis.com/v1/news/article/0e95e4a3-7231-4b07-97b3-e743d0d7f7dc","Que faire avec les titres de Mdf commerce, de Netflix et de Storage Vault? Voici quelques recommandations d’analystes susceptibles de faire bouger les cours prochainement. Note: …","NFLX","https://cloud.iexapis.com/v1/news/image/0e95e4a3-7231-4b07-97b3-e743d0d7f7dc","fr","False",""
"1608203820000","Deutsche Bank apuesta por emergentes asiáticos y las tecnológicas para 2021","El Confidencial","https://cloud.iexapis.com/v1/news/article/a2b81bce-7332-45df-8002-b09c57a07d80","Deutsche Bank recomienda la inversión en las Bolsas emergentes, especialmente las asiáticas que se verán más beneficiadas por la pronta recuperación de China, así como las acciones de las grandes empresas tecnológicas estadounidenses en su estrategia para 2021, presentada este jueves. El responsable de renta variable del centro de inversiones de Deutsche Bank en España, Diego Jiménez-Albarracín, considera ""muy positivas"" las perspectivas para las bolsas de Taiwán, Singapur, Malasia y, en general, los socios comerciales regionales de China, que se beneficiarán primero de la recuperación del coronavirus. Deutsche Bank cree que las empresas de los mercados emergentes podrían ser interesantes por el menor riesgo de duración, índices más granulares, que facilitan la diversificación, y la capacidad de las empresas para beneficiarse de una reactivación del comercio mundial y los pactos comerciales regionales, más obviamente en Asia. En menor medida, la visión también es buena para la renta variable estadounidense.","NFLX","https://cloud.iexapis.com/v1/news/image/a2b81bce-7332-45df-8002-b09c57a07d80","es","False",""
