"datetime","headline","source","url","summary","related","image","lang","hasPaywall","symbol"
"1608289222000","36 Million Americans to Work From Home by 2025 – Invest in These 7 Stocks Now","GO Banking Rates","https://cloud.iexapis.com/v1/news/article/af11e558-3435-4bff-a39c-4985fd5c488a","Upwork's new report reveals Zoom's staying power.","UPWK","https://cloud.iexapis.com/v1/news/image/af11e558-3435-4bff-a39c-4985fd5c488a","en","False",""
"1608213600000","Upwork Achieves and Commits to Carbon Neutrality","Business Wire","https://cloud.iexapis.com/v1/news/article/eda39740-9f63-47a2-8b11-7a1e032e8876","SANTA CLARA, Calif.--(BUSINESS WIRE)--Upwork (NASDAQ: UPWK), the world’s largest work marketplace, today released its first-ever carbon emissions report, revealing the company reached carbon neutrality for the first time in 2019 and declaring its commitment to remain carbon neutral going forward. In addition, Upwork announced its plans to further lower emissions in the future, reflecting the company’s focus on being a responsible steward of the environment. The report provides a clear picture o","UPWK","https://cloud.iexapis.com/v1/news/image/eda39740-9f63-47a2-8b11-7a1e032e8876","en","False",""
"1606410012000","Upwork’s 10 most in-demand tech skills in 2020 revealed","SiliconRepublic","https://cloud.iexapis.com/v1/news/article/1f0c4619-9210-4869-938f-6fac469fb7f9","As we near the end of 2020, freelance platform Upwork has revealed the most in-demand tech skills and hiring trends across its site.","UPWK","https://cloud.iexapis.com/v1/news/image/1f0c4619-9210-4869-938f-6fac469fb7f9","en","False",""
"1605794400000","Upwork’s CEO and Chief People Officer Both Named to Staffing Industry Analysts’ 2020 Global Power 150: Women in Staffing List","Business Wire","https://cloud.iexapis.com/v1/news/article/ddce6c3c-699f-46c0-a00e-7375967b2b34","SANTA CLARA, Calif.--(BUSINESS WIRE)--Upwork (NASDAQ: UPWK), the world’s largest work marketplace, today announced that Staffing Industry Analysts (SIA) has named its President and CEO Hayden Brown and Chief People Officer Zoë Harte to the 2020 Global Power 150 – Women in Staffing list. Now in its sixth year, the Global Power 150 list recognizes female leaders making significant contributions to shaping the global staffing industry. According to SIA, “These are women from various backgrounds wh","UPWK","https://cloud.iexapis.com/v1/news/image/ddce6c3c-699f-46c0-a00e-7375967b2b34","en","False",""
"1605708000000","Upwork Releases Top 15 Most In-Demand Skills for Independent Web, Mobile, and Software Developers","Business Wire","https://cloud.iexapis.com/v1/news/article/785ad901-f121-4b48-b95e-87adfc50cd2d","SANTA CLARA, Calif.--(BUSINESS WIRE)--Upwork (NASDAQ: UPWK), the world’s largest work marketplace, today announced the 15 most in-demand technical skills on Upwork. The demand for talent with programming and development expertise demonstrates the expanding way that businesses and independent professionals work together on essential, technical projects. In light of COVID-19’s impact on the economy, many organizations are navigating new business demands and, as a result, they are experiencing dif","UPWK","https://cloud.iexapis.com/v1/news/image/785ad901-f121-4b48-b95e-87adfc50cd2d","en","False",""
"1605621600000","Upwork Welcomes New Chief Product & Experience Officer, Sam Bright","Business Wire","https://cloud.iexapis.com/v1/news/article/54554bdd-fa5f-4170-80f4-13880e09b72b","SANTA CLARA, Calif.--(BUSINESS WIRE)--Upwork (UPWK), the world’s largest work marketplace, today announced Sam Bright has joined the company as its new Chief Product & Experience Officer. Bright is a senior operating executive with over 16 years of extensive experience scaling technology teams, businesses, and customer experiences. His career reflects a demonstrated track record of growing multi-billion dollar P&Ls, executing complex domestic and global transactions, and leading large t","UPWK","https://cloud.iexapis.com/v1/news/image/54554bdd-fa5f-4170-80f4-13880e09b72b","en","False",""
"1605189600000","Upwork Appoints Anilu Vazquez-Ubarri to Board of Directors","Business Wire","https://cloud.iexapis.com/v1/news/article/07afcffb-2732-4eea-a44d-73d8d61e6405","SANTA CLARA, Calif.--(BUSINESS WIRE)--Upwork (NASDAQ: UPWK), the world’s largest work marketplace, today announced the appointment of Anilu Vazquez-Ubarri to its Board of Directors. Vazquez-Ubarri currently serves as a Partner and Chief Human Resources Officer of TPG, a leading global alternative asset firm. She is also a member of TPG’s Executive Committee. In her role at TPG, Vazquez-Ubarri oversees the firm’s Human Resources function and provides support and counsel to executives across TPG’","UPWK","https://cloud.iexapis.com/v1/news/image/07afcffb-2732-4eea-a44d-73d8d61e6405","en","False",""
"1605016800000","Upwork Joins Forces with Zoom to Provide Best-in-Class Video Calling in the World’s Largest Work Marketplace","Business Wire","https://cloud.iexapis.com/v1/news/article/164417ea-8303-4e4d-b8d4-ea83f443221d","SANTA CLARA, Calif.--(BUSINESS WIRE)--Upwork (NASDAQ: UPWK), the world’s largest work marketplace, and Zoom Video Communications (NASDAQ: ZM), a leading provider of video-first unified communications, today announced they are joining forces to power video communications for businesses and independent talent within Upwork’s marketplace. This new collaboration integrates Zoom’s cutting-edge video and voice communication tool into Upwork’s best-in-class work marketplace, providing Upwork customers","UPWK","https://cloud.iexapis.com/v1/news/image/164417ea-8303-4e4d-b8d4-ea83f443221d","en","False",""
"1604613593000","4 Top Stock Trades for Friday: NIO, ACB, TLRY, UPWK","InvestorPlace","https://cloud.iexapis.com/v1/news/article/4bf1fd76-ae8f-4ca6-a6db-cbc56fcda613","Nio, Aurora Cannabis, Tilray and Upwork were our top stock trades for Friday. That said, let's take a look at the charts to see why.","UPWK","https://cloud.iexapis.com/v1/news/image/4bf1fd76-ae8f-4ca6-a6db-cbc56fcda613","en","False",""
"1604611397000","Qualcomm, Upwork rise; Hanesbrands, Incyte fall","ABC News","https://cloud.iexapis.com/v1/news/article/4123b19e-d628-4a8f-9e7e-15c166d219ad","Stocks that moved heavily or traded substantially Thursday: Qualcomm, Upwork rise; Hanesbrands, Incyte fall","UPWK","https://cloud.iexapis.com/v1/news/image/4123b19e-d628-4a8f-9e7e-15c166d219ad","en","False",""
"1604590409000","Stifel Upgrades Upwork After Q3 Beat, With Stock Ripping Higher","Benzinga","https://cloud.iexapis.com/v1/news/article/f7eeb83a-107b-4041-9a7b-19499c15d832","The recent strong growth in Upwork Inc’s (NASDAQ: UPWK ) market is likely to continue, with a paradigm shift to working with remote teams underway, Stifel said in an upgrade issued after the company's Wednesday third-quarter earnings beat . The Upwork Analyst: Logan Thomas upgraded Upwork from Hold to Buy and raised the price target from $17 to $31. The Upwork Thesis: While Upwork’s market has expanded significantly, its revamped management team is focusing on maintaining the company’s leading position and creating high-value solutions for clients, Thomas said … Full story available on Benzinga.com","UPWK","https://cloud.iexapis.com/v1/news/image/f7eeb83a-107b-4041-9a7b-19499c15d832","en","False",""
